PID,Degradability
P402061,1.2331888603592978
P340105,1.2308218803603914
P332243,1.2304704413146867
P332275,1.2294765390098874
P342210,1.2265863069686072
P024527,1.2261877619250083
P433748,1.222656158892061
P340161,1.217353482984563
P090457,1.2158297852158892
P392481,1.2139932351917166
P372885,1.2135553181152092
P372884,1.2135552970359167
P390074,1.2126863368884695
P452053,1.210883761851432
P392802,1.2075848201194512
P070656,1.2068796384761762
P100112,1.2066431048957653
P402060,1.2064871627304072
P070039,1.2064110009914164
P402408,1.2045392857860748
P512191,1.201347883769175
P400213,1.2004491921585272
P332242,1.2001631818054206
P342702,1.1996871483780727
P342414,1.196723441621783
P373182,1.1922168507790278
P342263,1.190313173713938
P370844,1.1899889696137467
P442004,1.1892408612058798
P450080,1.189084082968539
P412123,1.1875031765315884
P040240,1.1861353848843716
P400330,1.18506145173694
P100501,1.1833526831714098
P374096,1.1815843538052115
P373496,1.1810490249782026
P342596,1.1808330105147489
P462444,1.1802833450719858
P380053,1.1788876414454266
P370754,1.1696722834013928
P060030,1.1684961299749013
P360002,1.1684961299749013
P452078,1.1681565165835228
P332329,1.1677215757121266
P390087,1.1674521204776258
P040102,1.1649707223447006
P332145,1.1648271126314342
P470027,1.1646203796807066
P070564,1.1641500203810016
P373494,1.1633801250532851
P204562,1.1622163600003659
P392801,1.1605049775402208
P422001,1.1599970224033909
P374220,1.159653027785572
P512003,1.159536356272036
P392446,1.1592058862454646
P390386,1.1591844213320048
P362030,1.1583912586655292
P070504,1.1573382175712483
P402059,1.1569467091119328
P332237,1.1557813006682833
P020066,1.155141003604768
P452034,1.154133431380367
P010056,1.152447345090512
P450079,1.1502355880680526
P090505,1.1499089771830397
P392828,1.149122606806016
P070381,1.147539223612541
P044304,1.1460164486766145
P342356,1.1426436764814514
P060012,1.1383557271489209
P382424,1.1308830196990503
P370110,1.130178824565804
P372621,1.1289503870430575
P090047,1.1270147069273224
P030091,1.1252655472078303
P020067,1.1231014573750944
P332432,1.1226363566688133
P090472,1.1220822106498913
P100764,1.121230268465055
P512189,1.1204255845515707
P332232,1.1201088063366225
P100499,1.1189712323938161
P110168,1.1188212710329029
P392811,1.1179431369984045
P342267,1.1179346247880066
P070513,1.1133549837582122
P332180,1.112954378865624
P080017,1.111445677872871
P452072,1.1101502095797022
P332360,1.1093197413930214
P044526,1.1081968749521547
P090127,1.1072808956816722
P070072,1.1057929846738146
P332112,1.105396715247943
P332274,1.1049608241298396
P392876,1.1039967567858673
P392498,1.1019913913557509
P044389,1.1013625646178868
P020068,1.100774528337166
P040241,1.1003606530873349
P373872,1.1001672806033373
P452047,1.0999752768974158
P342432,1.0997891330422649
P342070,1.0995359007737355
P010099,1.0976935082485078
P340031,1.0974253792853212
P070234,1.0970950581974503
P332054,1.0964600589239553
P070396,1.0934301158969926
P100663,1.0931127222433292
P512124,1.0928465706864325
P322067,1.0921922015450114
P382029,1.090565520978982
P070657,1.0898962697398722
P360015,1.0884265050844992
P390230,1.087389994045659
P030186,1.0834098511670274
P372330,1.081745700048073
P392387,1.0796644936937387
P020069,1.0784475474719128
P342071,1.0772089437156036
P342046,1.0756630063454784
P010057,1.0753666504013495
P342053,1.0742980527333055
P382239,1.0732055626663408
P070371,1.0729667657166169
P330008,1.0729343841107903
P312002,1.0720022132412643
P040327,1.0714541780164248
P050033,1.0710498448308141
P342153,1.0709685440572003
P382104,1.068238622907964
P462607,1.0681687137868119
P392474,1.0680649638780584
P470023,1.0663683850797718
P010055,1.065397962159337
P382344,1.0641905202013335
P462047,1.0633308856251364
P342396,1.0631711732092435
P330017,1.0622900559914243
P330022,1.0622900559914243
P500037,1.0617554990984774
P370655,1.0617303522661952
P390141,1.0615170755084793
P100664,1.0610733611429943
P100269,1.0604588715805205
P332280,1.0604293238006108
P020065,1.0585475604537518
P332198,1.0579644001512531
P342314,1.0578771798683329
P373542,1.0578071147646173
P090279,1.0573376074674337
P440016,1.0564554593466429
P150025,1.0561316354141055
P100528,1.055931111917503
P070370,1.0552273182453362
P342072,1.0548821123668648
P470072,1.0540534307430458
P472030,1.0534442212011024
P462007,1.0521612549063912
P342225,1.0520890552939477
P342448,1.0519075357894916
P462399,1.0512053203302212
P332053,1.0510510063370417
P374181,1.0499403033614914
P332007,1.0495798084614265
P392730,1.0493851849436346
P452068,1.04895349319255
P412168,1.0488854753884689
P070042,1.04835546993634
P342415,1.0483520981029786
P090178,1.048210097684357
P200016,1.0481189565638558
P430125,1.0477021921058869
P370277,1.0449645093315731
P100440,1.0445639522549781
P402389,1.0434198040635103
P402431,1.0432889643858352
P342389,1.0429978232162078
P342074,1.0427348962941543
P100354,1.0425588651823965
P452069,1.0417487165360604
P330152,1.0414945557751578
P342266,1.0413546607526958
P392027,1.039911030751961
P090116,1.039911030751961
P090201,1.0392513993878914
P100662,1.0387464131411617
P030047,1.0382162094988057
P462576,1.0381560440373578
